"Grunnkrets","Gjennomsnitt_Pris","Antall_Boliger"
"SENTRUM 1",4704166.66666667,12
"RAMSDALEN",4145472.97297297,74
"TOREVARDEN",4e+06,1
"HALSEID",3733333.33333333,3
"RAGLATUA",3722500,32
"FJELLSTEMMEN VEST",3710538.46153846,65
"GARDSTØL",3596851.84615385,117
"ROSSABØNAKKEN",3476303.57142857,280
"VIKSE",3448794.11764706,51
"SENTRUM 15",3301428.57142857,14
"VESTEBEKKEN",3290918.36734694,49
"SKÅREDALEN",3221129.25170068,441
"LYSSKAR",3202903.22580645,31
"HAUGETUNET",3163318.96551724,58
"Sundskar",3147635.65891473,129
"SØLLERØDFELTET",3127571.42857143,70
"PORSHAUG",3056568.62745098,102
"TORNES NORD",3011481.48148148,27
"NYGÅRD",2997117.64705882,102
"ÅRABROT",2958000,10
"HEMMINGSTAD",2905149.25373134,134
"URADALSHAUGEN",2902500,84
"SOLVANG SKOLE",2884905.66037736,53
"SOLVANG",2813922.01834862,109
"LILLESUND SKOLE",2811288.65979381,97
"SENTRUM 5",2785514.49275362,138
"FØRLAND",2780000,5
"GEITAFJELL",2730207.65027322,183
"NIPHAUG",2714387.75510204,49
"JAMNHAUG",2712164.17910448,67
"KVALSVIK",2696859.75609756,164
"STORESUND",2663795.91836735,49
"SÆTRO",2659560,250
"PRESTHAUG",2650174.41860465,86
"GRØNHAUG",2638472.22222222,72
"SYKEHUSET",2612434.7826087,115
"SVEHAUG",2612321.5,50
"TORNES SYD",2598115.94202899,207
"BRAKAHAUG",2591274.83443709,302
"UDLAND",2588506.00600601,333
"DAM",2573359.25483871,310
"HOLLENDERHAUGEN",2544245.07317073,123
"SAKKESTAD VEST",2526878.41666667,24
"FJELLSTEMMEN ØST",2515938.42364532,203
"SENTRUM 11",2504068.62745098,102
"LONGEBJØRG",2492150,40
"MARITIME SKOLE",2486451.61290323,372
"NIPHAUG VEST",2483676.47058824,68
"JEPPEVEGEN",2470943.39622641,53
"STEINSNES",2459669.81132075,106
"VARDAFJELL",2442772.62857143,35
"HELLANDSMARKA",2432178.88888889,63
"KYVIKDALEN",2424318.18181818,44
"RÅGAN",2388247.78761062,113
"KATTANAKK",2380000,7
"ROSSABØSKOGEN",2375163.93442623,61
"SAKKESTAD ØST",2327191.78082192,73
"DYRSKAR",2299444.44444444,9
"SENTRUM 17",2298859.64912281,57
"HASSELØY",2284790.31322957,514
"TOLGETJØRN",2271537.5,160
"SENTRUM 13",2250161.29032258,62
"VASSBREKKE",2242721.99592668,491
"Kålgardshaugen",2198467.53246753,77
"GRØNÅSEN",2184937.5,80
"HAGLAND",2176041.66666667,24
"SENTRUM 19",2052336.95652174,92
"HAUGE SKOLE",2042291.42285714,175
"Haugaleite",2039349.44237918,269
"DJUPASKAR",1993552.63157895,76
"HEST",1912140.38059701,134
"GINA",1906757.42574257,202
"BJØRGENE",1873863.63636364,110
"SENTRUM 20",1870894.62121212,66
"LITLASUND",1846578.94736842,171
"SENTRUM 12",1828428.08333333,60
"BRÅVALLAGATA",1810174.05063291,158
"SENTRUM 2",1799833.33333333,51
"ØDEGAARDEN",1782793.10344828,290
"SENTRUM 14",1761666.66666667,15
"RISØY",1754170.21276596,188
"KOLONIHAGEN",1731526.04166667,192
"ROSSABØ KIRKE",1693986.60714286,336
"SENTRUM 18",1685329.67032967,91
"RØVÆR",1648500,10
"SENTRUM 7",1591361.11111111,36
"RAMSDALSBLOKKENE",1528823.27586207,232
"PRESTHAUGBLOKKENE",1504772.72727273,154
"HARALDSHALLEN",1492218.57923497,183
"BLEIKEMYR",1480458.47260274,292
"SENTRUM 4",1404464.28571429,28
"VALHALLBLOKKENE",1358988.85894207,397
"AUSTMANNABLOKKENE",1344776.21483376,391
"SKEISVANNSBLOKKENE",1331978.60962567,187
"HØYBLOKKENE",1324609.05349794,243
"SENTRUM 9",1309190.47619048,42
"SENTRUM 3",1306585.36585366,123
"SENTRUM 8",1208235.29411765,17
"SENTRUM 6",1202000,10
"SENTRUM 10",1131698.79518072,83
"VIBRANDSØY",1043333.33333333,3
